category	de_genes
00980	ENSMUSG00000003053,ENSMUSG00000008540,ENSMUSG00000021033,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000029727,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000038776,ENSMUSG00000040660,ENSMUSG00000052974,ENSMUSG00000054827,ENSMUSG00000056035,ENSMUSG00000058135,ENSMUSG00000060613,ENSMUSG00000060803,ENSMUSG00000067225,ENSMUSG00000089960
00590	ENSMUSG00000003053,ENSMUSG00000025004,ENSMUSG00000025479,ENSMUSG00000028715,ENSMUSG00000032808,ENSMUSG00000040660,ENSMUSG00000052520,ENSMUSG00000054827,ENSMUSG00000060613,ENSMUSG00000063856,ENSMUSG00000066072,ENSMUSG00000067225
00310	ENSMUSG00000003809,ENSMUSG00000010025,ENSMUSG00000020456,ENSMUSG00000023832,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026687,ENSMUSG00000027984,ENSMUSG00000029695,ENSMUSG00000032047,ENSMUSG00000041660
01040	ENSMUSG00000010651,ENSMUSG00000010663,ENSMUSG00000021364,ENSMUSG00000024665,ENSMUSG00000025745,ENSMUSG00000027195,ENSMUSG00000032349,ENSMUSG00000037071,ENSMUSG00000052392
00350	ENSMUSG00000000326,ENSMUSG00000001670,ENSMUSG00000020182,ENSMUSG00000021033,ENSMUSG00000029445,ENSMUSG00000030630,ENSMUSG00000031672,ENSMUSG00000040147,ENSMUSG00000063558
04975	ENSMUSG00000002944,ENSMUSG00000020609,ENSMUSG00000023057,ENSMUSG00000023832,ENSMUSG00000031672,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000037936,ENSMUSG00000054422
00072	ENSMUSG00000023832,ENSMUSG00000027875,ENSMUSG00000028672,ENSMUSG00000032047,ENSMUSG00000046598
00620	ENSMUSG00000010025,ENSMUSG00000023832,ENSMUSG00000026687,ENSMUSG00000027513,ENSMUSG00000027605,ENSMUSG00000031299,ENSMUSG00000032047,ENSMUSG00000032418,ENSMUSG00000041237,ENSMUSG00000063229
00140	ENSMUSG00000000326,ENSMUSG00000003555,ENSMUSG00000027195,ENSMUSG00000029727,ENSMUSG00000038092,ENSMUSG00000038641,ENSMUSG00000039519,ENSMUSG00000056035,ENSMUSG00000089960
00410	ENSMUSG00000010025,ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000026687,ENSMUSG00000033308,ENSMUSG00000057880,ENSMUSG00000062908
04976	ENSMUSG00000021135,ENSMUSG00000023829,ENSMUSG00000025194,ENSMUSG00000027048,ENSMUSG00000030236,ENSMUSG00000030762,ENSMUSG00000033161,ENSMUSG00000037936,ENSMUSG00000038776,ENSMUSG00000041698,ENSMUSG00000042476
00250	ENSMUSG00000025991,ENSMUSG00000026473,ENSMUSG00000028737,ENSMUSG00000031672,ENSMUSG00000031700,ENSMUSG00000044005,ENSMUSG00000057880,ENSMUSG00000089678
00260	ENSMUSG00000009614,ENSMUSG00000015970,ENSMUSG00000020258,ENSMUSG00000025270,ENSMUSG00000032786,ENSMUSG00000040147,ENSMUSG00000042102,ENSMUSG00000074768,ENSMUSG00000089678
00232	ENSMUSG00000005547,ENSMUSG00000024066,ENSMUSG00000032310,ENSMUSG00000060407
00270	ENSMUSG00000001670,ENSMUSG00000027597,ENSMUSG00000031672,ENSMUSG00000033022,ENSMUSG00000037798,ENSMUSG00000053907,ENSMUSG00000063229,ENSMUSG00000074768
00360	ENSMUSG00000001670,ENSMUSG00000020182,ENSMUSG00000029445,ENSMUSG00000031672,ENSMUSG00000040147
04610	ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000023224,ENSMUSG00000024164,ENSMUSG00000024863,ENSMUSG00000026368,ENSMUSG00000026579,ENSMUSG00000026715,ENSMUSG00000029656,ENSMUSG00000031138,ENSMUSG00000033860,ENSMUSG00000035031,ENSMUSG00000073418
04964	ENSMUSG00000010064,ENSMUSG00000025792,ENSMUSG00000027513,ENSMUSG00000033161,ENSMUSG00000044005
00062	ENSMUSG00000025465,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000059447
00020	ENSMUSG00000020456,ENSMUSG00000020917,ENSMUSG00000022110,ENSMUSG00000022477,ENSMUSG00000027513,ENSMUSG00000031299,ENSMUSG00000052738,ENSMUSG00000061838
00330	ENSMUSG00000010025,ENSMUSG00000025991,ENSMUSG00000026473,ENSMUSG00000026687,ENSMUSG00000028737,ENSMUSG00000030934,ENSMUSG00000031173,ENSMUSG00000031672,ENSMUSG00000040147,ENSMUSG00000044005
03010	ENSMUSG00000008682,ENSMUSG00000020460,ENSMUSG00000032399,ENSMUSG00000032518,ENSMUSG00000038900,ENSMUSG00000043716,ENSMUSG00000044533,ENSMUSG00000046364,ENSMUSG00000060636,ENSMUSG00000074129
00760	ENSMUSG00000019989,ENSMUSG00000020572,ENSMUSG00000029063,ENSMUSG00000032271,ENSMUSG00000063558
00561	ENSMUSG00000001211,ENSMUSG00000010025,ENSMUSG00000020258,ENSMUSG00000025059,ENSMUSG00000026687,ENSMUSG00000031545,ENSMUSG00000033174
04940	ENSMUSG00000025980,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
04977	ENSMUSG00000020609,ENSMUSG00000032080,ENSMUSG00000032083,ENSMUSG00000037936
05322	ENSMUSG00000022149,ENSMUSG00000022181,ENSMUSG00000024164,ENSMUSG00000029656,ENSMUSG00000035031,ENSMUSG00000073418
00910	ENSMUSG00000025991,ENSMUSG00000026473,ENSMUSG00000044005
04612	ENSMUSG00000003814,ENSMUSG00000015656,ENSMUSG00000021939,ENSMUSG00000023944,ENSMUSG00000027248,ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
00900	ENSMUSG00000023832,ENSMUSG00000027875,ENSMUSG00000032047,ENSMUSG00000059743
00500	ENSMUSG00000019989,ENSMUSG00000021069,ENSMUSG00000029201,ENSMUSG00000030244,ENSMUSG00000089960
00010	ENSMUSG00000010025,ENSMUSG00000026687,ENSMUSG00000027513,ENSMUSG00000027605,ENSMUSG00000028307,ENSMUSG00000031299,ENSMUSG00000041237,ENSMUSG00000063229
00340	ENSMUSG00000010025,ENSMUSG00000020182,ENSMUSG00000026687,ENSMUSG00000034456,ENSMUSG00000040147
05320	ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
05330	ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
05332	ENSMUSG00000067212,ENSMUSG00000067235,ENSMUSG00000073411
00053	ENSMUSG00000010025,ENSMUSG00000026687,ENSMUSG00000029201,ENSMUSG00000089960
04146	ENSMUSG00000003464,ENSMUSG00000003623,ENSMUSG00000010651,ENSMUSG00000018796,ENSMUSG00000022982,ENSMUSG00000024066,ENSMUSG00000024507,ENSMUSG00000026853,ENSMUSG00000027359,ENSMUSG00000028672,ENSMUSG00000030545,ENSMUSG00000036775,ENSMUSG00000053898
00120	ENSMUSG00000023963,ENSMUSG00000024507,ENSMUSG00000038641,ENSMUSG00000039519
04512	ENSMUSG00000002944,ENSMUSG00000017009,ENSMUSG00000017344,ENSMUSG00000026193
00400	ENSMUSG00000001670,ENSMUSG00000031672
00430	ENSMUSG00000023044,ENSMUSG00000033022
04950	ENSMUSG00000027690,ENSMUSG00000041237,ENSMUSG00000043013
00770	ENSMUSG00000019989,ENSMUSG00000033308,ENSMUSG00000037440
