category	de_genes
00640	ENSMUSG00000010025,ENSMUSG00000062908,ENSMUSG00000063229,ENSMUSG00000057880,ENSMUSG00000025745,ENSMUSG00000027605,ENSMUSG00000032047,ENSMUSG00000022853,ENSMUSG00000026687,ENSMUSG00000052738,ENSMUSG00000061838,ENSMUSG00000025465,ENSMUSG00000021238,ENSMUSG00000022110,ENSMUSG00000035948,ENSMUSG00000023921
04610	ENSMUSG00000072849,ENSMUSG00000024164,ENSMUSG00000022181,ENSMUSG00000073418,ENSMUSG00000033831,ENSMUSG00000079015,ENSMUSG00000033860,ENSMUSG00000028001,ENSMUSG00000022149,ENSMUSG00000066366,ENSMUSG00000029656,ENSMUSG00000026579,ENSMUSG00000071177,ENSMUSG00000024863,ENSMUSG00000026874,ENSMUSG00000031138,ENSMUSG00000109764,ENSMUSG00000038521,ENSMUSG00000026715,ENSMUSG00000060459,ENSMUSG00000023224,ENSMUSG00000026368,ENSMUSG00000021999
00380	ENSMUSG00000010025,ENSMUSG00000028011,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000032310,ENSMUSG00000032047,ENSMUSG00000063558,ENSMUSG00000039648,ENSMUSG00000022853,ENSMUSG00000020182,ENSMUSG00000026687,ENSMUSG00000040147,ENSMUSG00000025465,ENSMUSG00000039783,ENSMUSG00000000673,ENSMUSG00000003809,ENSMUSG00000003477,ENSMUSG00000020456
00983	ENSMUSG00000056035,ENSMUSG00000057400,ENSMUSG00000054630,ENSMUSG00000069922,ENSMUSG00000035836,ENSMUSG00000062181,ENSMUSG00000005547,ENSMUSG00000061959,ENSMUSG00000056973,ENSMUSG00000029260,ENSMUSG00000070704,ENSMUSG00000022304,ENSMUSG00000029727,ENSMUSG00000033308,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000024066,ENSMUSG00000060407,ENSMUSG00000029630
00480	ENSMUSG00000060803,ENSMUSG00000058135,ENSMUSG00000008540,ENSMUSG00000063856,ENSMUSG00000030541,ENSMUSG00000004038,ENSMUSG00000068762,ENSMUSG00000032350,ENSMUSG00000021033,ENSMUSG00000039682,ENSMUSG00000022562,ENSMUSG00000075706,ENSMUSG00000025934,ENSMUSG00000028961,ENSMUSG00000040562,ENSMUSG00000027890,ENSMUSG00000039062
04146	ENSMUSG00000020777,ENSMUSG00000027359,ENSMUSG00000018796,ENSMUSG00000030545,ENSMUSG00000024507,ENSMUSG00000053898,ENSMUSG00000021417,ENSMUSG00000003623,ENSMUSG00000030541,ENSMUSG00000036775,ENSMUSG00000010651,ENSMUSG00000036138,ENSMUSG00000022853,ENSMUSG00000026853,ENSMUSG00000031278,ENSMUSG00000022982,ENSMUSG00000028672,ENSMUSG00000039653,ENSMUSG00000055782,ENSMUSG00000024066,ENSMUSG00000003464,ENSMUSG00000027261,ENSMUSG00000025464,ENSMUSG00000028127
00591	ENSMUSG00000025479,ENSMUSG00000003053,ENSMUSG00000056035,ENSMUSG00000060613,ENSMUSG00000025197,ENSMUSG00000032310,ENSMUSG00000032808,ENSMUSG00000021210,ENSMUSG00000054827,ENSMUSG00000029727,ENSMUSG00000074882,ENSMUSG00000052520,ENSMUSG00000025004,ENSMUSG00000029630,ENSMUSG00000042248,ENSMUSG00000015224
00650	ENSMUSG00000027875,ENSMUSG00000046598,ENSMUSG00000057880,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000032047,ENSMUSG00000029482,ENSMUSG00000030935,ENSMUSG00000022853,ENSMUSG00000021210,ENSMUSG00000025465,ENSMUSG00000028672,ENSMUSG00000031299,ENSMUSG00000029545
04976	ENSMUSG00000042476,ENSMUSG00000041698,ENSMUSG00000038776,ENSMUSG00000030762,ENSMUSG00000030236,ENSMUSG00000021135,ENSMUSG00000027048,ENSMUSG00000030237,ENSMUSG00000033161,ENSMUSG00000025194,ENSMUSG00000023829,ENSMUSG00000060961,ENSMUSG00000037936,ENSMUSG00000024411,ENSMUSG00000020865,ENSMUSG00000039653,ENSMUSG00000024254,ENSMUSG00000027698,ENSMUSG00000015846,ENSMUSG00000023073,ENSMUSG00000040505,ENSMUSG00000028240
00590	ENSMUSG00000028715,ENSMUSG00000025479,ENSMUSG00000066072,ENSMUSG00000003053,ENSMUSG00000060613,ENSMUSG00000066071,ENSMUSG00000063856,ENSMUSG00000025197,ENSMUSG00000032808,ENSMUSG00000024292,ENSMUSG00000027983,ENSMUSG00000054827,ENSMUSG00000040660,ENSMUSG00000074882,ENSMUSG00000052520,ENSMUSG00000028712,ENSMUSG00000025004,ENSMUSG00000078597,ENSMUSG00000042248,ENSMUSG00000015224,ENSMUSG00000063929
00350	ENSMUSG00000001670,ENSMUSG00000029445,ENSMUSG00000063558,ENSMUSG00000031672,ENSMUSG00000020182,ENSMUSG00000000326,ENSMUSG00000040147,ENSMUSG00000022821,ENSMUSG00000021033,ENSMUSG00000074207,ENSMUSG00000025190,ENSMUSG00000030630,ENSMUSG00000037797
00620	ENSMUSG00000027513,ENSMUSG00000010025,ENSMUSG00000032418,ENSMUSG00000024892,ENSMUSG00000063229,ENSMUSG00000027605,ENSMUSG00000032047,ENSMUSG00000024026,ENSMUSG00000026687,ENSMUSG00000041237,ENSMUSG00000021620,ENSMUSG00000024158,ENSMUSG00000031299
00020	ENSMUSG00000027513,ENSMUSG00000024892,ENSMUSG00000020917,ENSMUSG00000030541,ENSMUSG00000052738,ENSMUSG00000061838,ENSMUSG00000022477,ENSMUSG00000031299,ENSMUSG00000020456,ENSMUSG00000022110,ENSMUSG00000004789
00120	ENSMUSG00000039519,ENSMUSG00000024507,ENSMUSG00000038641,ENSMUSG00000023963,ENSMUSG00000039653,ENSMUSG00000026170,ENSMUSG00000028240
00053	ENSMUSG00000010025,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000029201,ENSMUSG00000029260,ENSMUSG00000026687,ENSMUSG00000070704,ENSMUSG00000089960,ENSMUSG00000061906
00310	ENSMUSG00000010025,ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000032047,ENSMUSG00000029695,ENSMUSG00000022853,ENSMUSG00000026687,ENSMUSG00000025465,ENSMUSG00000003809,ENSMUSG00000020456,ENSMUSG00000041660,ENSMUSG00000004789,ENSMUSG00000034807,ENSMUSG00000059851
00250	ENSMUSG00000026473,ENSMUSG00000057880,ENSMUSG00000031700,ENSMUSG00000025991,ENSMUSG00000031672,ENSMUSG00000022546,ENSMUSG00000089678,ENSMUSG00000044005,ENSMUSG00000028737,ENSMUSG00000025190,ENSMUSG00000029992
00270	ENSMUSG00000037798,ENSMUSG00000001670,ENSMUSG00000074768,ENSMUSG00000063229,ENSMUSG00000024039,ENSMUSG00000027597,ENSMUSG00000031672,ENSMUSG00000033022,ENSMUSG00000053907,ENSMUSG00000029597,ENSMUSG00000025190
00260	ENSMUSG00000074768,ENSMUSG00000032786,ENSMUSG00000009614,ENSMUSG00000024039,ENSMUSG00000042102,ENSMUSG00000089678,ENSMUSG00000040147,ENSMUSG00000015970,ENSMUSG00000025270,ENSMUSG00000029597,ENSMUSG00000002769
00500	ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000021069,ENSMUSG00000029201,ENSMUSG00000029260,ENSMUSG00000041798,ENSMUSG00000070704,ENSMUSG00000030244,ENSMUSG00000078650,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000019989,ENSMUSG00000022707
00330	ENSMUSG00000030934,ENSMUSG00000010025,ENSMUSG00000026473,ENSMUSG00000025991,ENSMUSG00000031672,ENSMUSG00000003526,ENSMUSG00000031173,ENSMUSG00000026687,ENSMUSG00000040147,ENSMUSG00000044005,ENSMUSG00000028737,ENSMUSG00000039682,ENSMUSG00000025190,ENSMUSG00000040706
00410	ENSMUSG00000010025,ENSMUSG00000062908,ENSMUSG00000057880,ENSMUSG00000025745,ENSMUSG00000022853,ENSMUSG00000026687,ENSMUSG00000022304,ENSMUSG00000033308,ENSMUSG00000025465
00860	ENSMUSG00000032786,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000003617,ENSMUSG00000029260,ENSMUSG00000070704,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000022742,ENSMUSG00000025270,ENSMUSG00000040466
00010	ENSMUSG00000027513,ENSMUSG00000028307,ENSMUSG00000010025,ENSMUSG00000063229,ENSMUSG00000027605,ENSMUSG00000026687,ENSMUSG00000041798,ENSMUSG00000041237,ENSMUSG00000078650,ENSMUSG00000031299,ENSMUSG00000074207,ENSMUSG00000069805,ENSMUSG00000037797,ENSMUSG00000035473
00360	ENSMUSG00000001670,ENSMUSG00000029445,ENSMUSG00000031672,ENSMUSG00000020182,ENSMUSG00000040147,ENSMUSG00000025190
04975	ENSMUSG00000032080,ENSMUSG00000020609,ENSMUSG00000023057,ENSMUSG00000002944,ENSMUSG00000054422,ENSMUSG00000032083,ENSMUSG00000031672,ENSMUSG00000037936,ENSMUSG00000024254,ENSMUSG00000040505
00770	ENSMUSG00000037440,ENSMUSG00000022304,ENSMUSG00000033308,ENSMUSG00000019989,ENSMUSG00000018846,ENSMUSG00000033610
00232	ENSMUSG00000005547,ENSMUSG00000032310,ENSMUSG00000024066,ENSMUSG00000060407
00040	ENSMUSG00000010025,ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000029201,ENSMUSG00000029260,ENSMUSG00000070704,ENSMUSG00000089960,ENSMUSG00000061906
04614	ENSMUSG00000031980,ENSMUSG00000028024,ENSMUSG00000027820,ENSMUSG00000017760,ENSMUSG00000021710,ENSMUSG00000039062
04950	ENSMUSG00000041798,ENSMUSG00000027690,ENSMUSG00000041237,ENSMUSG00000017950,ENSMUSG00000037025,ENSMUSG00000024986,ENSMUSG00000043013
00062	ENSMUSG00000025745,ENSMUSG00000027984,ENSMUSG00000059447,ENSMUSG00000025465
00072	ENSMUSG00000027875,ENSMUSG00000046598,ENSMUSG00000032047,ENSMUSG00000028672
00400	ENSMUSG00000001670,ENSMUSG00000031672,ENSMUSG00000025190
05012	ENSMUSG00000064370,ENSMUSG00000064363,ENSMUSG00000064351,ENSMUSG00000025393,ENSMUSG00000025428,ENSMUSG00000019505,ENSMUSG00000064368,ENSMUSG00000017778,ENSMUSG00000016319,ENSMUSG00000022890,ENSMUSG00000031628,ENSMUSG00000036199,ENSMUSG00000022450,ENSMUSG00000013593,ENSMUSG00000014313,ENSMUSG00000031231
04964	ENSMUSG00000027513,ENSMUSG00000010064,ENSMUSG00000033161,ENSMUSG00000060961,ENSMUSG00000025792,ENSMUSG00000044005
00561	ENSMUSG00000010025,ENSMUSG00000033174,ENSMUSG00000025059,ENSMUSG00000001211,ENSMUSG00000031545,ENSMUSG00000034371,ENSMUSG00000053846,ENSMUSG00000026687,ENSMUSG00000029314,ENSMUSG00000015568
00100	ENSMUSG00000034926,ENSMUSG00000032018,ENSMUSG00000024781,ENSMUSG00000024799,ENSMUSG00000031349
00760	ENSMUSG00000063558,ENSMUSG00000025453,ENSMUSG00000020572,ENSMUSG00000032271,ENSMUSG00000029063,ENSMUSG00000019989
02010	ENSMUSG00000042476,ENSMUSG00000027048,ENSMUSG00000044749,ENSMUSG00000025194,ENSMUSG00000020865,ENSMUSG00000024254,ENSMUSG00000055782,ENSMUSG00000020620,ENSMUSG00000040505,ENSMUSG00000028127
00190	ENSMUSG00000064370,ENSMUSG00000064363,ENSMUSG00000064351,ENSMUSG00000025393,ENSMUSG00000025428,ENSMUSG00000064368,ENSMUSG00000017778,ENSMUSG00000022890,ENSMUSG00000036199,ENSMUSG00000022450,ENSMUSG00000013593,ENSMUSG00000039105,ENSMUSG00000014313,ENSMUSG00000031231
00340	ENSMUSG00000010025,ENSMUSG00000020182,ENSMUSG00000026687,ENSMUSG00000040147,ENSMUSG00000020017,ENSMUSG00000001155
00520	ENSMUSG00000028479,ENSMUSG00000029201,ENSMUSG00000018042,ENSMUSG00000041798,ENSMUSG00000025232,ENSMUSG00000026670,ENSMUSG00000056131,ENSMUSG00000029992,ENSMUSG00000036073
04920	ENSMUSG00000027513,ENSMUSG00000024900,ENSMUSG00000018796,ENSMUSG00000002944,ENSMUSG00000022383,ENSMUSG00000031278,ENSMUSG00000078650,ENSMUSG00000028991,ENSMUSG00000004221,ENSMUSG00000004040,ENSMUSG00000015846,ENSMUSG00000028599
05010	ENSMUSG00000064370,ENSMUSG00000064351,ENSMUSG00000025393,ENSMUSG00000002985,ENSMUSG00000029467,ENSMUSG00000025428,ENSMUSG00000014077,ENSMUSG00000025260,ENSMUSG00000017778,ENSMUSG00000022890,ENSMUSG00000010609,ENSMUSG00000031628,ENSMUSG00000027820,ENSMUSG00000036199,ENSMUSG00000022450,ENSMUSG00000013593,ENSMUSG00000032086,ENSMUSG00000014313,ENSMUSG00000015568,ENSMUSG00000031231
00910	ENSMUSG00000027559,ENSMUSG00000026473,ENSMUSG00000025991,ENSMUSG00000044005,ENSMUSG00000020017
00430	ENSMUSG00000023044,ENSMUSG00000033022,ENSMUSG00000039653
04977	ENSMUSG00000032080,ENSMUSG00000020609,ENSMUSG00000032083,ENSMUSG00000037936,ENSMUSG00000024354
04612	ENSMUSG00000003814,ENSMUSG00000015656,ENSMUSG00000027248,ENSMUSG00000073411,ENSMUSG00000061232,ENSMUSG00000067212,ENSMUSG00000021939,ENSMUSG00000023944,ENSMUSG00000020248,ENSMUSG00000079197
04141	ENSMUSG00000003814,ENSMUSG00000015656,ENSMUSG00000031770,ENSMUSG00000025130,ENSMUSG00000027248,ENSMUSG00000020571,ENSMUSG00000030062,ENSMUSG00000029657,ENSMUSG00000039234,ENSMUSG00000042406,ENSMUSG00000035325,ENSMUSG00000023944,ENSMUSG00000020048,ENSMUSG00000018442,ENSMUSG00000027422,ENSMUSG00000020484,ENSMUSG00000020986,ENSMUSG00000004460,ENSMUSG00000039100,ENSMUSG00000028410,ENSMUSG00000036391,ENSMUSG00000039367,ENSMUSG00000002014
00630	ENSMUSG00000032047,ENSMUSG00000022477,ENSMUSG00000027261,ENSMUSG00000023921
00450	ENSMUSG00000039648,ENSMUSG00000049091,ENSMUSG00000003477,ENSMUSG00000024899
05144	ENSMUSG00000002944,ENSMUSG00000052305,ENSMUSG00000017009,ENSMUSG00000009376,ENSMUSG00000069917,ENSMUSG00000027962,ENSMUSG00000022261
00130	ENSMUSG00000001670,ENSMUSG00000029445
00514	ENSMUSG00000054630,ENSMUSG00000035836,ENSMUSG00000029260,ENSMUSG00000070704,ENSMUSG00000089960,ENSMUSG00000061906,ENSMUSG00000034807
00051	ENSMUSG00000028307,ENSMUSG00000027227,ENSMUSG00000021210,ENSMUSG00000025271,ENSMUSG00000029162,ENSMUSG00000069805
00750	ENSMUSG00000063558,ENSMUSG00000032788
00920	ENSMUSG00000030711,ENSMUSG00000024899
05020	ENSMUSG00000022181,ENSMUSG00000022149,ENSMUSG00000029656,ENSMUSG00000026874,ENSMUSG00000022982
05016	ENSMUSG00000064370,ENSMUSG00000064351,ENSMUSG00000063856,ENSMUSG00000025393,ENSMUSG00000025428,ENSMUSG00000035041,ENSMUSG00000022982,ENSMUSG00000047126,ENSMUSG00000017778,ENSMUSG00000016319,ENSMUSG00000022890,ENSMUSG00000031628,ENSMUSG00000036199,ENSMUSG00000022450,ENSMUSG00000013593,ENSMUSG00000014313,ENSMUSG00000031231
